# mechanism=AWE target_available_mb=7680.0 held_mb_final=53607.7 page_size=4096
ts_iso,elapsed_s,held_mb,available_mb,pages_per_sec,pagefile_pct_usage,server_private_mb,server_workingset_mb,gpu_shared_usage,gpu_dedicated_usage,gpu_adapter_shared_usage_total,note
2026-09-24T21:56:13Z,0.0,53607.7,7679.4,61.18668214623932,7.538342724972447,0.0,0.0,,,,
2026-09-24T21:56:18Z,5.0,53607.7,7661.3,84.34295153892148,7.5250184986831,0.0,0.0,,,,
2026-09-24T21:56:23Z,10.0,53607.7,7651.5,102.0075481624182,7.511888314524183,0.0,0.0,,,,
2026-09-24T21:56:28Z,15.0,53607.7,7642.4,86.3790726739903,7.501345358770963,0.0,0.0,,,,
2026-09-24T21:56:33Z,20.0,53607.7,7639.3,18.88319422547945,7.499534298886974,0.0,0.0,,,,
2026-09-24T21:56:38Z,25.0,53607.7,7645.7,16.98852594957366,7.496494305510279,0.0,0.0,,,,
2026-09-24T21:56:43Z,30.0,53607.7,7643.0,39.604956401873864,7.492807505032159,0.0,0.0,,,,
2026-09-24T21:56:48Z,35.0,53607.7,7635.1,2.978251319737616,7.490834743372815,0.0,0.0,,,,
2026-09-24T21:56:53Z,40.0,53607.7,7629.6,0,7.489993894140963,0.0,0.0,,,,
2026-09-24T21:56:58Z,45.0,53607.7,7634.3,18.82963511041153,7.488473897452614,0.0,0.0,,,,
2026-09-24T21:57:03Z,50.0,53607.7,7630.1,15.000462014230038,7.484851777684638,0.0,0.0,,,,
2026-09-24T21:57:08Z,55.0,53607.7,7626.5,3.976705255951686,7.473953078025635,0.0,0.0,,,,
2026-09-24T21:57:13Z,60.0,53607.7,7623.3,22.653704151488274,7.470363298612728,0.0,0.0,,,,
2026-09-24T21:57:18Z,65.0,53607.7,4745.8,285397.3645811608,8.364800498817637,0.0,0.0,,,,
2026-09-24T21:57:23Z,70.0,53607.7,322.5,13360.37322874822,9.497780158027911,0.0,0.0,,,,
2026-09-24T21:57:28Z,75.0,53607.7,295.8,349.6630951503611,9.40968503081389,0.0,0.0,,,,
2026-09-24T21:57:33Z,80.0,53607.7,211.1,16.925239524496348,9.338342207526765,0.0,0.0,,,,
2026-09-24T21:57:38Z,85.0,53607.7,265.1,86.3015957065849,9.294585707115395,0.0,0.0,,,,
2026-09-24T21:57:43Z,90.0,53607.7,243.0,20.978832358150626,9.282813817869469,0.0,0.0,,,,
2026-09-24T21:57:48Z,95.0,53607.7,229.7,46.326413941293595,9.865748718028325,0.0,0.0,,,,
