ts_iso,server_private_mb,server_workingset_mb,gpu_shared_usage,gpu_dedicated_usage,gpu_adapter_shared_usage_total
2026-09-25T05:36:48.689514+00:00,7662.9,0.3,7836598272,0,7917633536
2026-09-25T05:37:00.301847+00:00,7661.3,0.3,7836598272,0,7917633536
2026-09-25T05:37:11.852520+00:00,7676.6,6.1,7852224512,0,7933259776
2026-09-25T05:37:23.613516+00:00,7677.0,0.3,7852224512,0,7933259776
2026-09-25T05:37:36.556601+00:00,7677.0,0.3,7852224512,0,7933259776
2026-09-25T05:37:49.151624+00:00,7677.1,0.4,7852224512,0,7933259776
2026-09-25T05:38:02.044468+00:00,7677.2,0.3,7852224512,0,7933259776
2026-09-25T05:38:14.692993+00:00,7677.6,0.4,7852224512,0,7933259776
2026-09-25T05:38:27.465865+00:00,7677.6,0.3,7852224512,0,7933259776
2026-09-25T05:38:39.750502+00:00,7677.7,0.3,7852224512,0,7933259776
2026-09-25T05:38:52.765642+00:00,7677.6,0.4,7852224512,0,7933259776
2026-09-25T05:39:05.712628+00:00,7677.7,0.5,7852224512,0,7933259776
2026-09-25T05:39:17.668981+00:00,7677.8,0.3,7852224512,0,7933259776
2026-09-25T05:39:30.578322+00:00,7677.9,0.3,7852224512,0,7933259776
2026-09-25T05:39:42.714698+00:00,7677.9,0.3,7852224512,0,7933259776
2026-09-25T05:39:55.261879+00:00,7678.0,0.3,7852224512,0,7933259776
2026-09-25T05:40:08.797696+00:00,7678.1,0.3,7852224512,0,7933259776
2026-09-25T05:40:20.861336+00:00,7678.1,0.3,7852224512,0,7933259776
2026-09-25T05:40:32.888177+00:00,7678.2,0.3,7852224512,0,7933259776
2026-09-25T05:40:45.502043+00:00,7678.5,0.3,7852224512,0,7933259776
2026-09-25T05:40:58.411547+00:00,7678.5,0.3,7852224512,0,7933259776
2026-09-25T05:41:10.828336+00:00,7678.5,0.3,7852224512,0,7933259776
2026-09-25T05:41:23.851945+00:00,7678.5,0.3,7852224512,0,7933259776
