# mechanism=AWE target_available_mb=5120.0 held_mb_final=56041.3 page_size=4096
ts_iso,elapsed_s,held_mb,available_mb,pages_per_sec,pagefile_pct_usage,server_private_mb,server_workingset_mb,gpu_shared_usage,gpu_dedicated_usage,gpu_adapter_shared_usage_total,note
2026-09-24T23:58:06Z,0.0,56041.3,5117.6,11.865682843349846,7.240682096896878,0.0,0.0,,,,
2026-09-24T23:58:11Z,5.0,56041.3,5097.6,0,7.240358693346166,0.0,0.0,,,,
2026-09-24T23:58:16Z,10.0,56041.3,5103.5,0.9938797876555956,7.240099970505597,0.0,0.0,,,,
2026-09-24T23:58:21Z,15.0,56041.3,5036.5,0,7.2399706090853115,0.0,0.0,,,,
2026-09-24T23:58:26Z,20.0,56041.3,5103.4,1.9913622670305284,7.239226780918672,0.0,0.0,,,,
2026-09-24T23:58:31Z,25.0,56041.3,5100.4,0,7.239226780918672,0.0,0.0,,,,
2026-09-24T23:58:36Z,30.0,56041.3,5098.0,0,7.239065079143317,0.0,0.0,,,,
2026-09-24T23:58:41Z,35.0,56041.3,5097.3,0,7.238838696657818,0.0,0.0,,,,
2026-09-24T23:58:46Z,40.0,56041.3,5104.9,0,7.238838696657818,0.0,0.0,,,,
2026-09-24T23:58:51Z,45.0,56041.3,5104.2,0.998591985300726,7.238676994882462,0.0,0.0,,,,
2026-09-24T23:58:56Z,50.0,56041.3,5106.1,0.990923733158508,7.238515293107106,0.0,0.0,,,,
2026-09-24T23:59:01Z,55.0,56041.3,5104.4,27.81168706687022,7.236736573578188,0.0,0.0,,,,
2026-09-24T23:59:06Z,60.0,56041.3,5110.4,0,7.2366718928680465,0.0,0.0,,,,
2026-09-24T23:59:30Z,65.0,56041.3,2183.7,,,0.0,0.0,,,,
2026-09-24T23:59:52Z,86.8,56041.3,4.9,,,0.0,0.0,,,,
