# gpu    pwr  gtemp  mtemp     sm    mem    enc    dec    jpg    ofa   mclk   pclk  pviol  tviol     fb   bar1   ccpm  rxpci  txpci 
# Idx      W      C      C      %      %      %      %      %      %    MHz    MHz      %   bool     MB     MB     MB   MB/s   MB/s 
    0      1     52      -      0      0      0      0      0      0    405    210      0      0   3747   8163      -      0      0 
    0      3     52      -      0      0      0      0      0      0    405    210      0      0   3747   8163      -      0      1 
    0      1     52      -      0      0      0      0      0      0    405    210      0      0   3747   8163      -      0      0 
    0      3     52      -      1      0      0      0      0      0    405    210      0      0   3751   8163      -      0      2 
    0     14     53      -     12      4      0      0      0      0   8001   1350      0      0   3753   8163      -     19      0 
    0     14     53      -      4      1      0      0      0      0   8001   1350      0      0   3753   8163      -      1      0 
    0      9     53      -     11      2      0      0      0      0   6001    525      0      0   3753   8163      -      0      0 
    0      9     53      -     15      2      0      0      0      0   6001    375      0      0   3753   8163      -      1      0 
    0     11     53      -     27      4      0      0      0      0   6001    450      0      0   3753   8163      -      0     12 
    0      9     53      -     31     21      0      0      0      0    810    480      0      0   3753   8163      -      1      0 
    0      9     53      -     50     41      0      0      0      0    810    720      0      0   3753   8163      -      4      2 
    0     25     54      -     13      5      0      0      0      0   7001   1920      0      0   3753   8163      -      6      1 
    0     22     53      -     23      5      0      0      0      0   8001   1140      0      0   3753   8163      -      3      0 
    0     16     54      -     38      9      0      0      0      0   8001   1200      0      0   3753   8163      -      2      0 
    0     19     54      -     44     10      0      0      0      0   8001   1200      0      0   3753   8163      -      0     66 
    0     24     54      -     37     10      0      0      0      0   8001   1545      0      0   3753   8163      -      6      2 
    0     24     55      -     46     13      0      0      0      0   8001   1545      0      0   3753   8163      -      3      0 
    0     19     54      -      0      0      0      0      0      0   8001   1800      0      0   3753   8163      -      0      0 
    0      9     53      -      6      5      0      0      0      0   6001    600      0      0   3753   8163      -      1      0 
    0     13     54      -     59     48      0      0      0      0   6001    765      0      0   3753   8163      -      5      2 
    0     30     57      -     54     61      0      0      0      0   7001   2325      0      0   3753   8163      -      7     35 
    0     42     54      -     32     36      0      0      0      0   8001   2565      0      0   3753   8163      -      7     35 
    0     54     57      -     25     28      0      0      0      0   8001   2565      0      0   3753   8163      -      4      1 
    0     54     59      -     48     54      0      0      0      0   8001   2565      0      0   3753   8163      -      5     36 
    0     23     55      -      0      0      0      0      0      0   8001   2565      0      0   3753   8163      -      0      0 
    0     39     57      -     23     12      0      0      0      0   7001   2565      0      0   3753   8163      -      4      2 
    0     31     55      -     11      4      0      0      0      0   8001   1875      0      0   3753   8163      -      2      1 
    0     27     57      -     25      9      0      0      0      0   8001   1875      0      0   3753   8163      -      1      0 
    0     23     56      -     18      5      0      0      0      0   8001   1380      0      0   3753   8163      -      6      1 
    0     35     57      -     20      8      0      0      0      0   8001   2340      0      0   3753   8163      -    575      6 
    0     47     60      -     49     20      0      0      0      0   8001   2340      0      0   3753   8163      -     17      4 
    0     48     58      -     12      6      0      0      0      0   8001   2565      0      0   3753   8163      -      0      0 
    0     25     57      -     42     44      0      0      0      0   8001   1935      0      0   3753   8163      -      4     35 
    0     29     56      -      0      0      0      0      0      0   8001   2115      0      0   3753   8163      -      0      0 
    0     24     56      -     13     14      0      0      0      0   8001   2115      0      0   3753   8163      -      7      3 
    0     15     55      -     39     36      0      0      0      0   8001   1110      0      0   3753   8163      -      5      2 
    0     16     55      -     50     47      0      0      0      0   6001    885      0      0   3753   8163      -      9      2 
