ts_iso_utc,kind,domain,rc,actual_mhz,request_mhz,tdp_mhz,efficient_mhz,throttle_reasons,energy_uj,timestamp_us,power_w
2026-09-25T07:53:53.724829+00:00,freq,0,0,900.0,900.0,2500.0,900.0,0,,,
2026-09-25T07:53:53.724829+00:00,freq,1,0,600.0,600.0,1200.0,550.0,0,,,
2026-09-25T07:53:53.724829+00:00,power,0,0,,,,,,108480782147,314087897490,
2026-09-25T07:53:54.724251+00:00,freq,0,0,2500.0,4250.0,2500.0,900.0,0,,,
2026-09-25T07:53:54.724251+00:00,freq,1,0,550.0,550.0,1200.0,550.0,0,,,
2026-09-25T07:53:54.724251+00:00,power,0,0,,,,,,108482709332,314088883648,1.9542355281810826
2026-09-25T07:53:55.728124+00:00,freq,0,0,2500.0,4250.0,2500.0,900.0,0,,,
2026-09-25T07:53:55.728124+00:00,freq,1,0,550.0,550.0,1200.0,550.0,0,,,
2026-09-25T07:53:55.728124+00:00,power,0,0,,,,,,108483985882,314089887165,1.2720761083270138
2026-09-25T07:53:56.730053+00:00,freq,0,0,2500.0,4250.0,2500.0,900.0,0,,,
2026-09-25T07:53:56.730053+00:00,freq,1,0,550.0,550.0,1200.0,550.0,0,,,
2026-09-25T07:53:56.730053+00:00,power,0,0,,,,,,108485730290,314090888838,1.7414944797354026
2026-09-25T07:53:57.732920+00:00,freq,0,0,2500.0,4250.0,2500.0,900.0,0,,,
2026-09-25T07:53:57.732920+00:00,freq,1,0,550.0,550.0,1200.0,550.0,0,,,
2026-09-25T07:53:57.732920+00:00,power,0,0,,,,,,108514701199,314091891806,28.885177792312415
2026-09-25T07:53:58.733070+00:00,freq,0,0,2500.0,4250.0,2500.0,900.0,0,,,
2026-09-25T07:53:58.733070+00:00,freq,1,0,550.0,550.0,1200.0,550.0,0,,,
2026-09-25T07:53:58.733070+00:00,power,0,0,,,,,,108540747181,314092892169,26.036530739341618
2026-09-25T07:53:59.738781+00:00,freq,0,0,2500.0,4250.0,2500.0,900.0,0,,,
2026-09-25T07:53:59.738781+00:00,freq,1,0,550.0,550.0,1200.0,550.0,0,,,
2026-09-25T07:53:59.738781+00:00,power,0,0,,,,,,108565951892,314093897543,25.069984901141268
2026-09-25T07:54:00.736224+00:00,freq,0,0,2500.0,4250.0,2500.0,900.0,0,,,
2026-09-25T07:54:00.736224+00:00,freq,1,0,550.0,550.0,1200.0,550.0,0,,,
