ts_iso,memory_used_mib,memory_total_mib,clocks_sm_mhz,clocks_mem_mhz,power_draw_w,temperature_gpu_c,utilization_gpu_pct,throttle_reasons_active,gpu_dedicated_usage,gpu_shared_usage
2026-09-25T04:19:36.067079+00:00,6067, 8188, 2160, 8001, 16.34, 50, 0, 0x0000000000000001,6368018432,119537664
2026-09-25T04:19:39.433803+00:00,6073, 8188, 2460, 8001, 104.90, 64, 100, 0x0000000000000004,6368018432,119537664
2026-09-25T04:19:42.787677+00:00,6073, 8188, 2565, 8001, 101.00, 63, 99, 0x0000000000000000,6368018432,119537664
2026-09-25T04:19:46.118347+00:00,6073, 8188, 2565, 8001, 97.47, 64, 100, 0x0000000000000000,6368018432,119537664
2026-09-25T04:19:49.397112+00:00,6073, 8188, 2565, 8001, 97.21, 64, 96, 0x0000000000000000,6368018432,119537664
2026-09-25T04:19:52.646335+00:00,6073, 8188, 2565, 8001, 23.14, 56, 0, 0x0000000000000000,6368018432,119537664
2026-09-25T04:19:55.957244+00:00,6073, 8188, 210, 405, 1.59, 54, 0, 0x0000000000000001,6368018432,119537664
2026-09-25T04:19:59.254526+00:00,6073, 8188, 210, 405, 1.61, 54, 0, 0x0000000000000001,6368018432,119537664
2026-09-25T04:20:02.582080+00:00,6073, 8188, 210, 405, 1.61, 53, 0, 0x0000000000000001,6368018432,119537664
2026-09-25T04:20:05.850062+00:00,6073, 8188, 210, 405, 1.64, 52, 0, 0x0000000000000001,6368018432,119537664
2026-09-25T04:20:09.119107+00:00,6073, 8188, 210, 405, 1.62, 52, 0, 0x0000000000000001,6368018432,119537664
2026-09-25T04:20:12.413836+00:00,6073, 8188, 210, 405, 1.66, 51, 0, 0x0000000000000001,6368018432,119537664
2026-09-25T04:20:15.740058+00:00,6073, 8188, 210, 405, 1.67, 51, 0, 0x0000000000000001,6368018432,119537664
2026-09-25T04:20:19.055083+00:00,6073, 8188, 210, 405, 1.66, 50, 0, 0x0000000000000001,6368018432,119537664
2026-09-25T04:20:22.368945+00:00,6073, 8188, 210, 405, 1.69, 50, 0, 0x0000000000000001,6368018432,119537664
2026-09-25T04:20:25.645880+00:00,6073, 8188, 210, 405, 1.68, 50, 0, 0x0000000000000001,6368018432,119537664
2026-09-25T04:20:28.883380+00:00,6073, 8188, 210, 405, 1.73, 49, 0, 0x0000000000000001,6368018432,119537664
2026-09-25T04:20:32.191883+00:00,6073, 8188, 210, 405, 1.76, 49, 0, 0x0000000000000001,6368018432,119537664
2026-09-25T04:20:35.520491+00:00,6073, 8188, 210, 405, 1.76, 49, 0, 0x0000000000000001,6368018432,119537664
2026-09-25T04:20:38.828765+00:00,6073, 8188, 210, 405, 1.81, 48, 0, 0x0000000000000001,6368018432,119537664
2026-09-25T04:20:42.136737+00:00,6073, 8188, 210, 405, 1.83, 48, 0, 0x0000000000000001,6368018432,119537664
2026-09-25T04:20:45.436162+00:00,6073, 8188, 210, 405, 1.77, 48, 0, 0x0000000000000001,6368018432,119537664
2026-09-25T04:20:48.737540+00:00,6073, 8188, 210, 405, 1.76, 48, 0, 0x0000000000000001,6368018432,119537664
