ts_iso_utc,server_pid,dedicated_bytes,shared_bytes,cpu_total_pct,adapter_shared_bytes
2026-09-25T05:37:04.1845670Z,55904,7578103808,127926272,29.7422828494195,2032852992
2026-09-25T05:37:05.2133728Z,55904,7578103808,127926272,34.9114208605779,2032852992
2026-09-25T05:37:06.2286884Z,55904,7578103808,127926272,33.8260397577833,2032852992
2026-09-25T05:37:07.2462614Z,55904,7578103808,127926272,43.5432648248399,2032852992
2026-09-25T05:37:08.2648754Z,55904,7578103808,127926272,22.8628332307533,2032852992
2026-09-25T05:37:09.2822453Z,55904,7578103808,127926272,31.6272411626359,2032852992
2026-09-25T05:37:10.2976505Z,55904,7578103808,127926272,37.8365801003157,2032852992
2026-09-25T05:37:11.3167458Z,55904,7578103808,127926272,32.1168075546102,2032852992
2026-09-25T05:37:12.3340645Z,55904,7578103808,127926272,37.7023262588088,2032852992
2026-09-25T05:37:13.3499317Z,55904,7578103808,127926272,30.3931804472735,2032852992
2026-09-25T05:37:14.3687296Z,55904,7578103808,127926272,29.1304800830622,2032852992
2026-09-25T05:37:15.3823410Z,55904,7578103808,127926272,33.05294670313,2049630208
2026-09-25T05:37:16.3960766Z,55904,7578103808,127926272,39.106016382313,2090369024
2026-09-25T05:37:17.4140409Z,55904,7578103808,127926272,41.6038095354053,2090369024
2026-09-25T05:37:18.4285223Z,55904,7578103808,127926272,67.865138208066,2111340544
2026-09-25T05:37:19.4432848Z,55904,7578103808,127926272,49.1415520582844,2111340544
2026-09-25T05:37:20.4460432Z,55904,7578103808,127926272,49.6506389221499,2111340544
2026-09-25T05:37:21.4630908Z,55904,7578103808,127926272,29.6447444606259,2111340544
2026-09-25T05:37:22.4855512Z,55904,7578103808,127926272,28.6620172390253,2111340544
2026-09-25T05:37:23.5017123Z,55904,7578103808,127926272,28.3992008494597,2111340544
2026-09-25T05:37:24.5177815Z,55904,7578103808,127926272,32.1746310903538,2111340544
2026-09-25T05:37:25.5327124Z,55904,7578103808,127926272,28.5531943808406,2111340544
2026-09-25T05:37:26.5482106Z,55904,7578103808,127926272,25.4715561624162,2111340544
2026-09-25T05:37:27.5668478Z,55904,7578103808,127926272,26.2121490790944,2111340544
2026-09-25T05:37:28.5788272Z,55904,7578103808,127926272,28.1423463226043,2111340544
2026-09-25T05:37:29.5833727Z,55904,7578103808,127926272,20.9533642669728,2104000512
2026-09-25T05:37:30.6006582Z,55904,7578103808,127926272,20.0981283490562,2111340544
2026-09-25T05:37:31.6169492Z,55904,7578103808,127926272,25.6993936198312,2111340544
2026-09-25T05:37:32.6208641Z,55904,7578103808,127926272,25.0809943689273,2111340544
2026-09-25T05:37:33.6370600Z,55904,7584395264,127926272,37.5057742359401,2111340544
2026-09-25T05:37:34.6412273Z,55904,7584395264,127926272,38.2454998440496,2111340544
2026-09-25T05:37:35.6454315Z,55904,7584395264,127926272,30.8290201315468,2111340544
2026-09-25T05:37:36.6617627Z,55904,7584395264,127926272,25.2799742569138,2111340544
2026-09-25T05:37:37.6668471Z,55904,7584395264,127926272,20.7547755223323,2111340544
2026-09-25T05:37:38.6728990Z,55904,7584395264,127926272,26.8934751698635,2111340544
2026-09-25T05:37:39.6757965Z,55904,7584395264,127926272,28.3880093580308,2111340544
2026-09-25T05:37:40.6918317Z,55904,7584395264,127926272,24.1692434446994,2107146240
2026-09-25T05:37:41.7051404Z,55904,7584395264,127926272,34.4343734552316,2107146240
2026-09-25T05:37:42.7075570Z,55904,7584395264,127926272,44.4285400075761,2111340544
2026-09-25T05:37:43.7252428Z,55904,7584395264,127926272,30.5525894602327,2111340544
2026-09-25T05:37:44.7405714Z,55904,7584395264,127926272,36.3282339537368,2111340544
2026-09-25T05:37:45.7562673Z,55904,7584395264,127926272,40.8386877900262,2111340544
2026-09-25T05:37:46.7697638Z,55904,7584395264,127926272,35.4421574012271,2111340544
2026-09-25T05:37:47.7747269Z,55904,7584395264,127926272,36.3814947370728,2111340544
2026-09-25T05:37:48.8005728Z,55904,7584395264,127926272,32.0377453842237,2111340544
2026-09-25T05:37:49.8047747Z,55904,7584395264,127926272,41.9950122182725,2111340544
2026-09-25T05:37:50.8080589Z,55904,7584395264,127926272,33.6474137082969,2111340544
2026-09-25T05:37:51.8224109Z,55904,7584395264,127926272,32.9269899276137,2111340544
2026-09-25T05:37:52.8386379Z,55904,7584395264,127926272,31.6464811301279,2111340544
2026-09-25T05:37:53.8558859Z,55904,7584395264,127926272,27.1103204175072,2104000512
2026-09-25T05:37:54.8589791Z,55904,7584395264,127926272,30.9613108503317,2111340544
