# gpu    pwr  gtemp  mtemp     sm    mem    enc    dec    jpg    ofa   mclk   pclk  pviol  tviol     fb   bar1   ccpm  rxpci  txpci 
# Idx      W      C      C      %      %      %      %      %      %    MHz    MHz      %   bool     MB     MB     MB   MB/s   MB/s 
    0     26     56      -     60     15      0      0      0      0   8001   1170      0      0   3866   8163      -      6      2 
    0     15     57      -     15      4      0      0      0      0   6001   1020      0      0   3866   8163      -     15      1 
    0     15     57      -     38     10      0      0      0      0   7001   1140      0      0   3866   8163      -      4      8 
    0     61     58      -     24      7      0      0      0      0   8001   1770      0      0   3866   8163      -    557      6 
    0     14     56      -      0      0      0      0      0      0   8001   1770      0      0   3866   8163      -     12      4 
    0     18     57      -      2      0      0      0      0      0   8001   1230      0      0   3866   8163      -     26      1 
    0     20     57      -      0      0      0      0      0      0   8001   1365      0      0   3866   8163      -    282      3 
    0     15     56      -      0      0      0      0      0      0   8001   1590      0      0   3866   8163      -     44     35 
    0      9     56      -      7      6      0      0      0      0   6001    750      0      0   3866   8163      -      8     70 
    0     12     57      -      0      0      0      0      0      0   6001    540      0      0   3866   8163      -      7      4 
    0     13     56      -     12      8      0      0      0      0   6001    480      0      0   3866   8163      -     12     35 
    0     12     57      -     16     10      0      0      0      0   6001    480      0      0   3866   8163      -      4     34 
    0     11     56      -     12      4      0      0      0      0   6001    330      0      0   3866   8163      -     15      1 
    0     11     56      -      6      3      0      0      0      0   6001    360      0      0   3866   8163      -      3      1 
    0     12     57      -     23     11      0      0      0      0   6001    300      0      0   3866   8163      -      7     36 
    0     13     56      -     45     24      0      0      0      0   6001    405      0      0   3866   8163      -     10      4 
    0     12     57      -     14      9      0      0      0      0   6001    465      0      0   3866   8163      -      7     36 
    0     23     56      -     45     24      0      0      0      0   6001    405      0      0   3866   8163      -      3     34 
    0     12     56      -     16     10      0      0      0      0   6001    465      0      0   4570   8163      -     24     37 
    0     11     56      -     18      8      0      0      0      0   6001    315      0      0   4954   8163      -      1      3 
    0     14     56      -     47     24      0      0      0      0   6001    465      0      0   5402   8163      -      7      5 
    0     13     56      -     39     24      0      0      0      0   6001    465      0      0   5786   8163      -      7     71 
    0      9     57      -     10      5      0      0      0      0   6001    525      0      0   6242   8163      -    529    251 
    0     14     56      -      3      0      0      0      0      0   8001   1185      0      0   6242   8163      -    387     69 
    0     31     58      -     51     17      0      0      0      0   8001   1800      0      0   6242   8163      -    475    134 
    0     70     60      -     28     12      0      0      0      0   8001   2565      0      0   6242   8163      -    785    131 
    0     44     65      -     48     21      0      0      0      0   8001   2310      0      0   6242   8163      -     27    126 
    0     55     62      -     69     30      0      0      0      0   8001   2295      0      0   6242   8163      -    878      4 
    0     23     59      -      1      0      0      0      0      0   8001   2565      0      0   6242   8163      -      3      5 
    0     19     58      -     41     41      0      0      0      0   7001   1200      0      0   6242   8163      -      0      0 
    0     15     58      -     38     35      0      0      0      0   8001   1260      0      0   6242   8163      -    171    181 
    0     16     58      -      1      0      0      0      0      0   6001   1065      0      0   6242   8163      -    680     36 
    0     19     60      -     15     15      0      0      0      0   8001   1290      0      0   6242   8163      -     13     60 
    0     17     58      -     49     47      0      0      0      0   6001    945      0      0   6242   8163      -    721     33 
    0     15     58      -     49     48      0      0      0      0   6001    975      0      0   6242   8163      -    745     93 
    0     15     58      -     40     37      0      0      0      0   6001    855      0      0   6242   8163      -      8     35 
    0     14     59      -     21     17      0      0      0      0   6001    765      0      0   6690   8163      -      0      0 
    0     14     58      -     53     47      0      0      0      0   6001    765      0      0   6946   8163      -      7      1 
    0     10     59      -     99     14      0      0      0      0   6001    435      0      0   7330   8163      -     25     43 
    0     22     59      -     42     14      0      0      0      0   8001   1710      0      0   7480   8163      -      0      2 
    0     20     58      -     13      3      0      0      0      0   8001   1275      0      0   7474   8163      -     32      1 
    0     13     58      -      0      0      0      0      0      0   6001   1080      0      0   7494   8163      -     17      5 
    0     17     58      -      7      6      0      0      0      0   7001   1455      0      0   7494   8163      -     31     34 
    0     29     63      -      1      1      0      0      0      0   8001   1965      0      0   7500   8163      -      0     11 
# gpu    pwr  gtemp  mtemp     sm    mem    enc    dec    jpg    ofa   mclk   pclk  pviol  tviol     fb   bar1   ccpm  rxpci  txpci 
# Idx      W      C      C      %      %      %      %      %      %    MHz    MHz      %   bool     MB     MB     MB   MB/s   MB/s 
    0     20     65      -      0      0      0      0      0      0   8001   2295      0      0   7500   8163      -     34      5 
    0     43     60      -     23     11      0      0      0      0   8001   2385      0      0   7500   8163      -     11      9 
    0     14     59      -      5      5      0      0      0      0   8001   1125      0      0   7500   8163      -     14      4 
    0     13     58      -     28     27      0      0      0      0   6001    825      0      0   7500   8163      -      8      3 
    0     21     59      -     29     23      0      0      0      0   6001    630      0      0   7500   8163      -      0      0 
    0     10     59      -     20     13      0      0      0      0   6001    480      0      0   7500   8163      -     21     38 
    0     12     58      -     29     16      0      0      0      0   6001    390      0      0   7500   8163      -      7     36 
    0     10     58      -     34     19      0      0      0      0   6001    435      0      0   7500   8163      -      7      0 
    0     14     58      -     66     24      0      0      0      0   6001    255      0      0   7500   8163      -      2     33 
    0     16     58      -     50     24      0      0      0      0   6001    360      1      0   7500   8163      -      2      1 
    0     11     59      -     33     16      0      0      0      0   6001    360      0      0   7500   8163      -      7      3 
    0     10     58      -     78     24      0      0      0      0   6001    225      0      0   7500   8163      -     11     35 
    0     12     58      -     42     13      0      0      0      0   6001    225      0      0   7500   8163      -      1     39 
    0     15     58      -     46     24      0      0      0      0   6001    390      0      0   7500   8163      -      7     36 
    0     11     58      -     37     19      0      0      0      0   6001    390      0      0   7500   8163      -      4     40 
    0     12     58      -     56     21      0      0      0      0   6001    270      0      0   7500   8163      -      1      2 
    0     13     58      -      5      2      0      0      0      0   6001    240      0      0   7500   8163      -     10      5 
    0      9     58      -      2      1      0      0      0      0   6001    330      0      0   7500   8163      -      0      0 
    0     11     58      -      0      0      0      0      0      0   6001    330      0      0   7500   8163      -      1      0 
    0     11     58      -     21      7      0      0      0      0   6001    240      0      0   7500   8163      -      6     35 
    0     12     58      -      0      0      0      0      0      0   6001    225      0      0   7500   8163      -      4     35 
