timestamp, utilization.gpu [%], clocks.current.sm [MHz], clocks.current.memory [MHz], power.draw [W], temperature.gpu, memory.used [MiB], clocks_event_reasons.active
2026/09/25 04:08:29.909, 100 %, 2550 MHz, 8001 MHz, 98.70 W, 73, 7813 MiB, 0x0000000000000000
2026/09/25 04:08:30.912, 100 %, 2550 MHz, 8001 MHz, 98.36 W, 73, 7813 MiB, 0x0000000000000000
2026/09/25 04:08:31.927, 100 %, 2550 MHz, 8001 MHz, 98.68 W, 74, 7813 MiB, 0x0000000000000000
2026/09/25 04:08:32.929, 100 %, 2550 MHz, 8001 MHz, 98.59 W, 74, 7813 MiB, 0x0000000000000000
2026/09/25 04:08:33.934, 100 %, 2550 MHz, 8001 MHz, 97.88 W, 74, 7813 MiB, 0x0000000000000000
2026/09/25 04:08:34.937, 99 %, 2550 MHz, 8001 MHz, 98.13 W, 74, 7813 MiB, 0x0000000000000000
2026/09/25 04:08:35.939, 100 %, 2550 MHz, 8001 MHz, 101.41 W, 75, 7813 MiB, 0x0000000000000000
2026/09/25 04:08:36.941, 100 %, 2550 MHz, 8001 MHz, 98.10 W, 76, 7813 MiB, 0x0000000000000000
2026/09/25 04:08:37.947, 100 %, 2550 MHz, 8001 MHz, 98.58 W, 77, 7813 MiB, 0x0000000000000000
2026/09/25 04:08:38.954, 100 %, 2550 MHz, 8001 MHz, 98.03 W, 76, 7813 MiB, 0x0000000000000000
2026/09/25 04:08:39.956, 100 %, 2550 MHz, 8001 MHz, 98.35 W, 76, 7813 MiB, 0x0000000000000000
2026/09/25 04:08:40.971, 100 %, 2550 MHz, 8001 MHz, 98.87 W, 77, 7813 MiB, 0x0000000000000000
2026/09/25 04:08:41.975, 100 %, 2550 MHz, 8001 MHz, 98.20 W, 77, 7813 MiB, 0x0000000000000000
2026/09/25 04:08:42.976, 100 %, 2550 MHz, 8001 MHz, 98.54 W, 77, 7813 MiB, 0x0000000000000000
2026/09/25 04:08:43.979, 99 %, 2145 MHz, 8001 MHz, 99.09 W, 85, 7813 MiB, 0x0000000000000004
2026/09/25 04:08:44.984, 0 %, 2550 MHz, 8001 MHz, 24.97 W, 70, 7813 MiB, 0x0000000000000000
2026/09/25 04:08:45.985, 0 %, 2550 MHz, 8001 MHz, 24.77 W, 70, 7813 MiB, 0x0000000000000000
2026/09/25 04:08:46.986, 0 %, 510 MHz, 8001 MHz, 11.04 W, 68, 7813 MiB, 0x0000000000000001
2026/09/25 04:08:48.001, 0 %, 330 MHz, 6001 MHz, 8.28 W, 68, 7813 MiB, 0x0000000000000001
2026/09/25 04:08:49.003, 0 %, 210 MHz, 6001 MHz, 8.21 W, 68, 7813 MiB, 0x0000000000000001
2026/09/25 04:08:50.007, 0 %, 210 MHz, 810 MHz, 4.77 W, 67, 7813 MiB, 0x0000000000000001
2026/09/25 04:08:51.011, 0 %, 210 MHz, 405 MHz, 3.40 W, 67, 7813 MiB, 0x0000000000000001
2026/09/25 04:08:52.027, 0 %, 210 MHz, 405 MHz, 1.81 W, 67, 7813 MiB, 0x0000000000000001
2026/09/25 04:08:53.029, 0 %, 210 MHz, 405 MHz, 1.77 W, 66, 7813 MiB, 0x0000000000000001
2026/09/25 04:08:54.036, 0 %, 210 MHz, 405 MHz, 1.78 W, 66, 7813 MiB, 0x0000000000000001
2026/09/25 04:08:55.038, 0 %, 210 MHz, 405 MHz, 1.75 W, 66, 7813 MiB, 0x0000000000000001
2026/09/25 04:08:56.040, 0 %, 210 MHz, 405 MHz, 1.77 W, 66, 7813 MiB, 0x0000000000000001
2026/09/25 04:08:57.054, 0 %, 210 MHz, 405 MHz, 1.83 W, 66, 7813 MiB, 0x0000000000000001
2026/09/25 04:08:58.066, 0 %, 210 MHz, 405 MHz, 1.82 W, 65, 7813 MiB, 0x0000000000000001
2026/09/25 04:08:59.068, 0 %, 210 MHz, 405 MHz, 1.78 W, 65, 7813 MiB, 0x0000000000000001
2026/09/25 04:09:00.084, 0 %, 210 MHz, 405 MHz, 1.77 W, 65, 7813 MiB, 0x0000000000000001
2026/09/25 04:09:01.100, 0 %, 210 MHz, 405 MHz, 1.78 W, 65, 7813 MiB, 0x0000000000000001
2026/09/25 04:09:02.102, 0 %, 210 MHz, 405 MHz, 1.83 W, 65, 7813 MiB, 0x0000000000000001
2026/09/25 04:09:03.107, 0 %, 210 MHz, 405 MHz, 1.92 W, 65, 7813 MiB, 0x0000000000000001
2026/09/25 04:09:04.110, 0 %, 210 MHz, 405 MHz, 1.92 W, 64, 7813 MiB, 0x0000000000000001
2026/09/25 04:09:05.126, 0 %, 210 MHz, 405 MHz, 1.87 W, 64, 7813 MiB, 0x0000000000000001
2026/09/25 04:09:06.129, 0 %, 210 MHz, 405 MHz, 1.89 W, 64, 7813 MiB, 0x0000000000000001
2026/09/25 04:09:07.131, 0 %, 210 MHz, 405 MHz, 1.90 W, 64, 7813 MiB, 0x0000000000000001
2026/09/25 04:09:08.146, 0 %, 210 MHz, 405 MHz, 1.88 W, 64, 7813 MiB, 0x0000000000000001
2026/09/25 04:09:09.160, 0 %, 210 MHz, 405 MHz, 1.87 W, 64, 7813 MiB, 0x0000000000000001
2026/09/25 04:09:10.161, 0 %, 210 MHz, 405 MHz, 1.86 W, 64, 7813 MiB, 0x0000000000000001
2026/09/25 04:09:11.176, 0 %, 210 MHz, 405 MHz, 1.82 W, 63, 7813 MiB, 0x0000000000000001
2026/09/25 04:09:12.180, 0 %, 210 MHz, 405 MHz, 1.90 W, 63, 7813 MiB, 0x0000000000000001
2026/09/25 04:09:13.186, 0 %, 210 MHz, 405 MHz, 1.88 W, 63, 7813 MiB, 0x0000000000000001
2026/09/25 04:09:14.189, 0 %, 210 MHz, 405 MHz, 1.89 W, 63, 7813 MiB, 0x0000000000000001
2026/09/25 04:09:15.191, 0 %, 210 MHz, 405 MHz, 1.90 W, 63, 7813 MiB, 0x0000000000000001
2026/09/25 04:09:16.206, 0 %, 210 MHz, 405 MHz, 1.92 W, 63, 7813 MiB, 0x0000000000000001
2026/09/25 04:09:17.212, 0 %, 210 MHz, 405 MHz, 1.97 W, 63, 7813 MiB, 0x0000000000000001
2026/09/25 04:09:18.227, 0 %, 210 MHz, 405 MHz, 2.22 W, 63, 7813 MiB, 0x0000000000000001
2026/09/25 04:09:19.242, 0 %, 210 MHz, 405 MHz, 2.00 W, 63, 7813 MiB, 0x0000000000000001
2026/09/25 04:09:20.246, 0 %, 210 MHz, 405 MHz, 1.97 W, 62, 7813 MiB, 0x0000000000000001
2026/09/25 04:09:21.250, 0 %, 210 MHz, 405 MHz, 1.95 W, 62, 7813 MiB, 0x0000000000000001
2026/09/25 04:09:22.252, 0 %, 210 MHz, 405 MHz, 1.95 W, 62, 7813 MiB, 0x0000000000000001
2026/09/25 04:09:23.257, 0 %, 210 MHz, 405 MHz, 1.93 W, 62, 7813 MiB, 0x0000000000000001
2026/09/25 04:09:24.260, 0 %, 210 MHz, 405 MHz, 1.92 W, 62, 7813 MiB, 0x0000000000000001
2026/09/25 04:09:25.265, 0 %, 210 MHz, 405 MHz, 1.93 W, 62, 7813 MiB, 0x0000000000000001
