#Date        Time         gpu    pwr  gtemp  mtemp     sm    mem    enc    dec    jpg    ofa   mclk   pclk  pviol  tviol     fb   bar1   ccpm  rxpci  txpci 
#YYYYMMDD    HH:MM:SS     Idx      W      C      C      %      %      %      %      %      %    MHz    MHz      %   bool     MB     MB     MB   MB/s   MB/s 
 20260925    04:07:40       0     14     58      -      0      0      0      0      0      0   8001   1605      0      0      0   8163      -      0      0 
 20260925    04:07:41       0      1     57      -      0      0      0      0      0      0   8000   1605    100      0      0   8163      -     76      7 
 20260925    04:07:42       0     13     58      -      3      0      0      0      0      0   8001   1605      0      0    113   8163      -      0      0 
 20260925    04:07:43       0     13     58      -     15      3      0      0      0      0   8001   1605      0      0   2489   8163      -   2079    232 
 20260925    04:07:44       0     13     58      -     14      1      0      0      0      0   8001   1605      0      0   2489   8163      -   2286    291 
 20260925    04:07:45       0     18     58      -     64     14      0      0      0      0   8001   1845      0      0   7807   8163      -   1635     38 
 20260925    04:07:46       0     23     59      -      0      0      0      0      0      0   8001   2565      0      0   7807   8163      -      0      0 
 20260925    04:07:47       0     23     59      -      0      0      0      0      0      0   8001   2565      0      0   7807   8163      -      0      0 
 20260925    04:07:49       0     13     58      -      0      0      0      0      0      0   8001   1605      0      0   7807   8163      -      0      0 
 20260925    04:07:50       0     13     58      -      0      0      0      0      0      0   8001   1605      0      0   7807   8163      -      0      1 
 20260925    04:07:51       0     13     58      -      0      0      0      0      0      0   8001   1605      0      0   7807   8163      -      0      3 
 20260925    04:07:52       0     13     58      -      0      0      0      0      0      0   8001   1605      0      0   7807   8163      -      0      0 
 20260925    04:07:53       0     13     58      -      0      0      0      0      0      0   8001   1605      0      0   7807   8163      -      0      0 
 20260925    04:07:54       0      7     58      -      0      0      0      0      0      0    810    225      0      0   7807   8163      -      0      2 
 20260925    04:07:55       0      2     58      -      0      0      0      0      0      0    405    210      0      0   7807   8163      -      0      0 
 20260925    04:07:56       0      2     58      -      0      0      0      0      0      0    405    210      0      0   7807   8163      -      0      0 
 20260925    04:07:57       0      2     58      -      0      0      0      0      0      0    405    210      0      0   7807   8163      -      0      1 
