ts_iso,memory_used_mib,memory_total_mib,clocks_sm_mhz,clocks_mem_mhz,power_draw_w,temperature_gpu_c,utilization_gpu_pct,throttle_reasons_active,gpu_dedicated_usage,gpu_shared_usage
2026-09-25T04:22:36.488913+00:00,7227, 8188, 1800, 8001, 13.55, 53, 0, 0x0000000000000001,7584395264,127926272
2026-09-25T04:22:39.927490+00:00,7233, 8188, 2400, 8001, 104.65, 67, 99, 0x0000000000000004,7584395264,127926272
2026-09-25T04:22:43.303312+00:00,7233, 8188, 2550, 8001, 101.90, 67, 99, 0x0000000000000000,7584395264,127926272
2026-09-25T04:22:46.713779+00:00,7233, 8188, 2550, 8001, 97.07, 67, 100, 0x0000000000000000,7584395264,127926272
2026-09-25T04:22:50.108212+00:00,7233, 8188, 2550, 8001, 96.52, 68, 100, 0x0000000000000000,7584395264,127926272
2026-09-25T04:22:53.459527+00:00,7233, 8188, 2550, 8001, 95.82, 68, 99, 0x0000000000000000,7584395264,127926272
2026-09-25T04:22:56.854500+00:00,7233, 8188, 2550, 8001, 95.66, 69, 96, 0x0000000000000000,7584395264,127926272
2026-09-25T04:23:00.162183+00:00,7233, 8188, 2550, 8001, 98.08, 69, 96, 0x0000000000000000,7584395264,127926272
2026-09-25T04:23:03.473473+00:00,7233, 8188, 465, 8001, 10.64, 61, 0, 0x0000000000000001,7584395264,127926272
2026-09-25T04:23:06.763251+00:00,7233, 8188, 210, 405, 2.05, 59, 0, 0x0000000000000001,7584395264,127926272
2026-09-25T04:23:09.920808+00:00,7233, 8188, 210, 405, 1.55, 58, 0, 0x0000000000000001,7584395264,127926272
2026-09-25T04:23:13.186816+00:00,7233, 8188, 210, 405, 1.53, 57, 0, 0x0000000000000001,7584395264,127926272
2026-09-25T04:23:16.397960+00:00,7233, 8188, 210, 405, 1.77, 57, 0, 0x0000000000000001,7584395264,127926272
2026-09-25T04:23:19.643709+00:00,7233, 8188, 210, 405, 2.46, 56, 0, 0x0000000000000001,7584395264,127926272
2026-09-25T04:23:22.825294+00:00,7233, 8188, 210, 405, 1.58, 56, 0, 0x0000000000000001,7584395264,127926272
2026-09-25T04:23:25.933739+00:00,7233, 8188, 210, 405, 1.68, 55, 0, 0x0000000000000001,7584395264,127926272
2026-09-25T04:23:29.138886+00:00,7233, 8188, 210, 405, 2.12, 54, 0, 0x0000000000000001,7584395264,127926272
2026-09-25T04:23:32.352281+00:00,7233, 8188, 210, 405, 1.68, 54, 0, 0x0000000000000001,7584395264,127926272
2026-09-25T04:23:35.530774+00:00,7233, 8188, 210, 405, 1.67, 53, 0, 0x0000000000000001,7584395264,127926272
2026-09-25T04:23:38.712981+00:00,7233, 8188, 210, 405, 1.67, 53, 0, 0x0000000000000001,7584395264,127926272
2026-09-25T04:23:41.899202+00:00,7233, 8188, 210, 405, 1.65, 53, 0, 0x0000000000000001,7584395264,127926272
2026-09-25T04:23:45.054624+00:00,7233, 8188, 210, 405, 1.99, 52, 0, 0x0000000000000001,7584395264,127926272
2026-09-25T04:23:48.255372+00:00,7233, 8188, 210, 405, 1.74, 52, 0, 0x0000000000000001,7584395264,127926272
2026-09-25T04:23:51.416247+00:00,7233, 8188, 210, 405, 1.73, 52, 0, 0x0000000000000001,7584395264,127926272
2026-09-25T04:23:54.577728+00:00,7233, 8188, 210, 405, 1.77, 51, 0, 0x0000000000000001,7584395264,127926272
2026-09-25T04:23:57.733795+00:00,7233, 8188, 210, 405, 1.79, 51, 0, 0x0000000000000001,7584395264,127926272
2026-09-25T04:24:01.086085+00:00,7233, 8188, 210, 405, 8.80, 51, 100, 0x0000000000000001,7584395264,127926272
2026-09-25T04:24:04.523874+00:00,7233, 8188, 2415, 8001, 103.84, 65, 100, 0x0000000000000004,7584395264,127926272
2026-09-25T04:24:07.889015+00:00,7233, 8188, 2565, 8001, 99.69, 65, 100, 0x0000000000000000,7584395264,127926272
2026-09-25T04:24:11.247871+00:00,7233, 8188, 2565, 8001, 96.32, 66, 100, 0x0000000000000000,7584395264,127926272
2026-09-25T04:24:14.618351+00:00,7233, 8188, 2565, 8001, 95.78, 67, 100, 0x0000000000000000,7584395264,127926272
2026-09-25T04:24:17.967316+00:00,7233, 8188, 2565, 8001, 95.43, 68, 100, 0x0000000000000000,7584395264,127926272
2026-09-25T04:24:21.293161+00:00,7233, 8188, 2565, 8001, 97.45, 68, 97, 0x0000000000000000,7584395264,127926272
2026-09-25T04:24:24.651684+00:00,7233, 8188, 2565, 8001, 96.79, 69, 97, 0x0000000000000000,7584395264,127926272
2026-09-25T04:24:28.018166+00:00,7233, 8188, 420, 810, 7.16, 60, 0, 0x0000000000000001,7584395264,127926272
2026-09-25T04:24:31.384236+00:00,7233, 8188, 210, 405, 1.54, 59, 0, 0x0000000000000001,7584395264,127926272
2026-09-25T04:24:34.680826+00:00,7233, 8188, 210, 405, 1.52, 57, 0, 0x0000000000000001,7584395264,127926272
2026-09-25T04:24:38.034656+00:00,7233, 8188, 210, 405, 1.55, 57, 0, 0x0000000000000001,7584395264,127926272
2026-09-25T04:24:41.391788+00:00,7233, 8188, 210, 405, 1.57, 56, 0, 0x0000000000000001,7584395264,127926272
2026-09-25T04:24:44.732304+00:00,7233, 8188, 210, 405, 1.63, 55, 0, 0x0000000000000001,7584395264,127926272
2026-09-25T04:24:48.012008+00:00,7233, 8188, 210, 405, 1.63, 55, 0, 0x0000000000000001,7584395264,127926272
2026-09-25T04:24:51.471859+00:00,7233, 8188, 210, 405, 1.59, 54, 0, 0x0000000000000001,7584395264,127926272
2026-09-25T04:24:54.743353+00:00,7233, 8188, 210, 405, 1.62, 54, 0, 0x0000000000000001,7584395264,127926272
2026-09-25T04:24:58.163809+00:00,7233, 8188, 210, 405, 1.63, 53, 0, 0x0000000000000001,7584395264,127926272
2026-09-25T04:25:01.466815+00:00,7233, 8188, 210, 405, 1.62, 53, 0, 0x0000000000000001,7584395264,127926272
2026-09-25T04:25:04.771789+00:00,7233, 8188, 210, 405, 1.66, 52, 0, 0x0000000000000001,7584395264,127926272
2026-09-25T04:25:08.095494+00:00,7233, 8188, 210, 405, 1.69, 52, 0, 0x0000000000000001,7584395264,127926272
2026-09-25T04:25:11.456716+00:00,7233, 8188, 210, 405, 1.69, 52, 0, 0x0000000000000001,7584395264,127926272
2026-09-25T04:25:14.797776+00:00,7233, 8188, 210, 405, 1.68, 51, 0, 0x0000000000000001,7584395264,127926272
2026-09-25T04:25:18.152019+00:00,7233, 8188, 210, 405, 1.73, 51, 0, 0x0000000000000001,7584395264,127926272
2026-09-25T04:25:21.495832+00:00,7233, 8188, 210, 405, 1.75, 51, 0, 0x0000000000000001,7584395264,127926272
2026-09-25T04:25:24.977052+00:00,7233, 8188, 210, 405, 2.23, 51, 98, 0x0000000000000001,7584395264,127926272
2026-09-25T04:25:28.339562+00:00,7233, 8188, 2430, 8001, 104.49, 65, 100, 0x0000000000000004,7584395264,127926272
2026-09-25T04:25:31.764634+00:00,7233, 8188, 2565, 8001, 100.76, 64, 99, 0x0000000000000000,7584395264,127926272
2026-09-25T04:25:35.133689+00:00,7233, 8188, 2565, 8001, 96.17, 65, 100, 0x0000000000000000,7584395264,127926272
2026-09-25T04:25:38.456408+00:00,7233, 8188, 2565, 8001, 95.36, 66, 100, 0x0000000000000000,7584395264,127926272
2026-09-25T04:25:41.869205+00:00,7233, 8188, 2565, 8001, 95.61, 68, 100, 0x0000000000000000,7584395264,127926272
2026-09-25T04:25:45.324474+00:00,7233, 8188, 2565, 8001, 97.45, 68, 96, 0x0000000000000000,7584395264,127926272
