# gpu    pwr  gtemp  mtemp     sm    mem    enc    dec    jpg    ofa   mclk   pclk  pviol  tviol     fb   bar1   ccpm  rxpci  txpci 
# Idx      W      C      C      %      %      %      %      %      %    MHz    MHz      %   bool     MB     MB     MB   MB/s   MB/s 
    0     15     57      -      1      0      0      0      0      0   6001    990      0      0   3866   8163      -     11      3 
    0     14     58      -      1      0      0      0      0      0   6001   1050      0      0   3866   8163      -      2      3 
    0     16     57      -     31      7      0      0      0      0   8001   1170      0      0   3866   8163      -      7      3 
    0     27     58      -      0      0      0      0      0      0   8001   2205      0      0   3866   8163      -      4      0 
    0     27     58      -      0      0      0      0      0      0   8001   2205      0      0   3866   8163      -     19      3 
    0     20     58      -     52     13      0      0      0      0   8001   1260      0      0   3866   8163      -     26      1 
    0     29     59      -     61     20      0      0      0      0   8001   2310      0      0   3866   8163      -      7      9 
    0     35     61      -     44     18      0      0      0      0   8001   2310      0      0   3866   8163      -      0      1 
    0     31     58      -     26      9      0      0      0      0   8001   1410      0      0   3866   8163      -     11      1 
    0     15     58      -     24     24      0      0      0      0   6001    945      0      0   3866   8163      -      7      1 
    0     13     58      -      0      0      0      0      0      0   6001    810      0      0   3866   8163      -      0      0 
    0     12     57      -      0      0      0      0      0      0   6001    630      0      0   3866   8163      -      5     33 
    0     12     58      -     36     24      0      0      0      0   6001    510      0      0   3866   8163      -      5     34 
    0     13     58      -      6      3      0      0      0      0   6001    435      0      0   3866   8163      -      5      1 
    0     12     58      -     48     24      0      0      0      0   6001    465      0      0   3866   8163      -      6     35 
    0     13     58      -     43     26      0      0      0      0   6001    465      0      0   3866   8163      -      2      1 
    0     14     57      -     39     24      0      0      0      0   6001    465      0      0   3866   8163      -      3     34 
    0     13     58      -     39     24      0      0      0      0   6001    465      0      0   3866   8163      -      4      2 
    0     14     57      -     41     24      0      0      0      0   6001    450      0      0   3866   8163      -      1      1 
    0     13     58      -     39     24      0      0      0      0   6001    465      0      0   4762   8163      -      0      2 
    0     13     58      -     42     24      0      0      0      0   6001    465      0      0   5146   8163      -      6     33 
    0     12     57      -     40     24      0      0      0      0   6001    480      0      0   5466   8163      -      0      2 
    0     11     57      -     36     18      0      0      0      0   6001    345      0      0   5914   8163      -      1     36 
    0     13     57      -     40     24      0      0      0      0   6001    450      0      0   6234   8163      -      7      2 
    0      7     57      -      3      0      0      0      0      0   6001    450      0      0   6242   8163      -     16     84 
    0     20     58      -     20      7      0      0      0      0   8001   1620      0      0   6242   8163      -    495     46 
    0     22     59      -     54     18      0      0      0      0   8001   1290      0      0   6242   8163      -    845      7 
    0     27     59      -     40     13      0      0      0      0   8001   1650      0      0   6242   8163      -    452    164 
    0     28     64      -     12      4      0      0      0      0   8001   1950      0      0   6242   8163      -    609     79 
    0     27     59      -      1      0      0      0      0      0   8001   1725      0      0   6242   8163      -    687      1 
    0     21     59      -     34      8      0      0      0      0   8001   1350      0      0   6242   8163      -     14     82 
    0     24     60      -     74     17      0      0      0      0   8001   1335      0      0   6242   8163      -    640     23 
    0     17     58      -      5      4      0      0      0      0   8001   1335      0      0   6242   8163      -    466     16 
    0     17     58      -     14     13      0      0      0      0   6001    960      0      0   6242   8163      -    746      0 
    0     22     59      -     49     47      0      0      0      0   6001    960      0      0   6242   8163      -     13    104 
    0     14     59      -      4      4      0      0      0      0   6001   1065      0      0   6242   8163      -     60    144 
    0      9     58      -     11      8      0      0      0      0   6001   1065      0      0   6242   8163      -    881      2 
    0     12     58      -     28     24      0      0      0      0   6001    720      0      0   6242   8163      -     18    145 
    0     14     58      -     32     24      0      0      0      0   6001    615      0      0   6242   8163      -      3    144 
    0     14     58      -     31     24      0      0      0      0   6001    615      0      0   6242   8163      -     60    145 
    0     13     58      -     26     20      0      0      0      0   6001    690      0      0   6242   8163      -      7     68 
    0     15     59      -     24     21      0      0      0      0   6001    885      0      0   6242   8163      -    177     83 
    0     14     58      -     30     28      0      0      0      0   6001    795      0      0   6242   8163      -      1    171 
    0     12     59      -     22     16      0      0      0      0   6001    645      0      0   6242   8163      -     75     31 
# gpu    pwr  gtemp  mtemp     sm    mem    enc    dec    jpg    ofa   mclk   pclk  pviol  tviol     fb   bar1   ccpm  rxpci  txpci 
# Idx      W      C      C      %      %      %      %      %      %    MHz    MHz      %   bool     MB     MB     MB   MB/s   MB/s 
    0     11     58      -     93     18      0      0      0      0   6001    690      0      0   6242   8163      -    679     34 
    0     15     59      -     51     13      0      0      0      0   6001    960      0      0   6242   8163      -    384     40 
    0     16     59      -     74     20      0      0      0      0   7001   1095      0      0   6242   8163      -    770      4 
    0     18     58      -      1      0      0      0      0      0   8001   1275      0      0   6242   8163      -    468      1 
    0     19     59      -     61     14      0      0      0      0   8001   1215      0      0   6242   8163      -      2      4 
    0     22     59      -      1      0      0      0      0      0   8001   1770      0      0   6498   8163      -      1     73 
    0     23     59      -      0      0      0      0      0      0   8001   1440      0      0   6818   8163      -      1      8 
    0     20     61      -     74     18      0      0      0      0   8001   1245      0      0   7074   8163      -    284      1 
    0     18     60      -      9      3      0      0      0      0   8001   1350      0      0   7394   8163      -      1      5 
    0     13     59      -     40     33      0      0      0      0   6001    645      0      0   7480   8163      -      2      3 
    0     14     59      -     34     24      0      0      0      0   6001    540      0      0   7410   8163      -      0      1 
    0     11     58      -      0      0      0      0      0      0   6001    420      0      0   7494   8163      -      5     35 
    0     13     59      -     22     12      0      0      0      0   6001    420      0      0   7500   8163      -      7     49 
    0      7     58      -      0      0      0      0      0      0   6001    420      0      0   7500   8163      -      6     36 
    0     11     58      -      6      3      0      0      0      0   6001    450      0      0   7500   8163      -      2     35 
    0     11     58      -     31     14      0      0      0      0   6001    345      0      0   7500   8163      -      0      2 
    0     12     58      -      0      0      0      0      0      0   6001    300      0      0   7500   8163      -      6     34 
    0     11     59      -     33     16      0      0      0      0   6001    360      0      0   7500   8163      -     23      1 
    0     13     59      -     37     18      0      0      0      0   6001    375      0      0   7500   8163      -      1      4 
    0     12     58      -     40     24      0      0      0      0   6001    450      0      0   7500   8163      -      0      2 
    0     10     59      -     28     17      0      0      0      0   6001    450      0      0   7500   8163      -      0      4 
    0     13     58      -     46     24      0      0      0      0   6001    390      0      0   7500   8163      -      4     36 
    0     13     59      -     27     16      0      0      0      0   6001    450      0      0   7500   8163      -      7     37 
    0     12     58      -      6      3      0      0      0      0   6001    375      0      0   7500   8163      -      0      0 
    0     12     58      -     48     24      0      0      0      0   6001    375      0      0   7500   8163      -      4     36 
    0 
